39.8,68.27%,57.13%,60.33%
39.6,68.16%,57.07%,60.17%
39.4,68.03%,56.99%,60.00%
39.2,68.03%,57.24%,59.93%
39,67.91%,56.99%,59.81%
38.8,67.71%,56.98%,59.52%
38.6,67.39%,56.72%,59.06%
38.4,67.40%,56.54%,59.10%
38.2,67.37%,56.78%,59.01%
38,67.14%,56.74%,58.66%
37.8,67.10%,56.77%,58.60%
37.6,67.06%,56.72%,58.54%
37.4,66.83%,56.50%,58.25%
37.2,66.75%,56.24%,58.16%
37,66.77%,56.19%,58.19%
36.8,66.65%,56.25%,58.01%
36.6,66.54%,56.11%,57.87%
36.4,66.32%,55.95%,57.56%
36.2,66.23%,55.90%,57.42%
36,66.03%,55.73%,57.15%
35.8,65.91%,55.60%,56.99%
35.6,65.88%,55.72%,56.95%
35.4,65.67%,55.52%,56.67%
35.2,65.55%,55.37%,56.50%
35,65.48%,55.45%,56.40%
35,65.48%,55.45%,56.40%
34.8,65.44%,55.31%,56.35%
34.6,65.33%,55.28%,56.19%
34.4,65.18%,55.00%,56.00%
34.2,65.15%,55.05%,55.95%
34,64.87%,54.75%,55.59%
33.8,64.73%,54.64%,55.38%
33.6,64.65%,54.81%,55.27%
33.4,64.55%,54.82%,55.13%
33.2,64.52%,54.72%,55.07%
33,64.24%,54.16%,54.75%
32.8,64.12%,54.16%,54.57%
32.6,64.02%,54.12%,54.46%
32.4,63.81%,54.21%,54.15%
32.2,63.75%,54.05%,54.08%
32,63.84%,54.22%,54.18%
31.8,63.84%,54.23%,54.18%
31.6,63.72%,54.17%,54.05%
31.4,63.57%,54.02%,53.84%
31.2,63.52%,54.08%,53.75%
31,63.42%,54.14%,53.62%
30.8,63.43%,54.23%,53.61%
30.6,63.16%,54.00%,53.26%
30.4,62.96%,53.95%,53.01%
30.2,62.92%,53.98%,52.96%
30,62.70%,53.83%,52.67%
29.8,62.63%,53.70%,52.59%
29.6,62.38%,53.29%,52.28%
29.4,62.36%,53.52%,52.26%
29.2,62.16%,53.43%,52.01%
29,62.15%,53.35%,51.98%
28.8,61.98%,53.35%,51.76%
28.6,61.91%,53.45%,51.66%
28.4,61.85%,53.45%,51.58%
28.2,61.73%,53.13%,51.45%
28,61.64%,53.20%,51.31%
27.8,61.48%,53.13%,51.12%
27.6,61.37%,53.09%,50.99%
27.4,61.31%,52.81%,50.91%
27.2,61.13%,52.62%,50.69%
27,60.95%,52.54%,50.47%
26.8,60.84%,52.37%,50.34%
26.6,60.78%,52.45%,50.26%
